session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
A,35,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,1,70
A,35,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,1,70
A,35,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,95
A,35,19,8,2,Pal,Indian,Hindu,OBC,obc,1,7,95
A,35,20,17,5,Gurung,Foreign,Hindu,N/A,obc,1,5,70
A,35,21,2,1,Joshi,Indian,Hindu,GM,obc,1,7,95
A,35,22,1,1,Desai,Indian,Hindu,GM,obc,1,7,95
A,35,23,13,4,Nadaf,Indian,Muslim,OBC,obc,1,4,95
A,35,24,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,90
A,36,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,90
A,36,2,23,6,Akhand,Foreign,Muslim,N/A,obc,0,4,50
A,36,3,18,5,Thapa,Foreign,Hindu,N/A,obc,1,7,70
A,36,4,5,2,Kale,Indian,Hindu,OBC,obc,1,7,80
A,36,5,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,95
A,36,6,22,6,Mir,Foreign,Muslim,N/A,obc,0,4,40
A,36,7,11,3,Wadder,Indian,Hindu,SCST,obc,1,7,80
A,36,8,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,90
A,36,9,24,6,Mirza,Foreign,Muslim,N/A,obc,0,1,40
A,36,10,15,4,Haq,Indian,Muslim,OBC,obc,1,7,80
A,36,11,9,3,Madar,Indian,Hindu,SCST,obc,1,7,70
A,36,12,16,4,Sheikh,Indian,Muslim,OBC,obc,1,7,75
A,36,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,7,80
A,36,14,14,4,Mulla,Indian,Muslim,OBC,obc,1,7,70
A,36,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,4,40
A,36,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,1,7,50
A,36,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,7,80
A,36,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,70
A,36,19,8,2,Pal,Indian,Hindu,OBC,obc,1,7,90
A,36,20,17,5,Gurung,Foreign,Hindu,N/A,obc,1,7,70
A,36,21,2,1,Joshi,Indian,Hindu,GM,obc,1,7,90
A,36,22,1,1,Desai,Indian,Hindu,GM,obc,1,7,91
A,36,23,13,4,Nadaf,Indian,Muslim,OBC,obc,1,7,90
A,36,24,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,80
A,37,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,80
A,37,2,23,6,Akhand,Foreign,Muslim,N/A,obc,0,1,70
A,37,3,18,5,Thapa,Foreign,Hindu,N/A,obc,1,7,20
A,37,4,5,2,Kale,Indian,Hindu,OBC,obc,1,7,80
A,37,5,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,80
A,37,6,22,6,Mir,Foreign,Muslim,N/A,obc,0,1,75
A,37,7,11,3,Wadder,Indian,Hindu,SCST,obc,1,7,80
A,37,8,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,75
A,37,9,24,6,Mirza,Foreign,Muslim,N/A,obc,0,4,20
A,37,10,15,4,Haq,Indian,Muslim,OBC,obc,1,4,85
A,37,11,9,3,Madar,Indian,Hindu,SCST,obc,1,4,90
A,37,12,16,4,Sheikh,Indian,Muslim,OBC,obc,1,4,70
A,37,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,7,85
A,37,14,14,4,Mulla,Indian,Muslim,OBC,obc,1,4,75
A,37,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,4,75
A,37,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,1,1,20
A,37,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,1,20
A,37,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,85
A,37,19,8,2,Pal,Indian,Hindu,OBC,obc,1,7,85
A,37,20,17,5,Gurung,Foreign,Hindu,N/A,obc,1,1,20
